Name,Type 1,Type 2,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary,Total
Bulbasaur,Grass,Poison,45,49,49,65,65,45,1,False,318
Ivysaur,Grass,Poison,60,62,63,80,80,60,1,False,405
Venusaur,Grass,Poison,80,82,83,100,100,80,1,False,525
VenusaurMega Venusaur,Grass,Poison,80,100,123,122,120,80,1,False,625
Charmander,Fire,,39,52,43,60,50,65,1,False,309
Charmeleon,Fire,,58,64,58,80,65,80,1,False,405
Charizard,Fire,Flying,78,84,78,109,85,100,1,False,534
CharizardMega Charizard X,Fire,Dragon,78,130,111,130,85,100,1,False,634
CharizardMega Charizard Y,Fire,Flying,78,104,78,159,115,100,1,False,634
Squirtle,Water,,44,48,65,50,64,43,1,False,314
Wartortle,Water,,59,63,80,65,80,58,1,False,405
Blastoise,Water,,79,83,100,85,105,78,1,False,530
BlastoiseMega Blastoise,Water,,79,103,120,135,115,78,1,False,630
Caterpie,Bug,,45,30,35,20,20,45,1,False,195
Metapod,Bug,,50,20,55,25,25,30,1,False,205
Butterfree,Bug,Flying,60,45,50,90,80,70,1,False,395
Weedle,Bug,Poison,40,35,30,20,20,50,1,False,195
Kakuna,Bug,Poison,45,25,50,25,25,35,1,False,205
Beedrill,Bug,Poison,65,90,40,45,80,75,1,False,395
BeedrillMega Beedrill,Bug,Poison,65,150,40,15,80,145,1,False,495
Pidgey,Normal,Flying,40,45,40,35,35,56,1,False,251
Pidgeotto,Normal,Flying,63,60,55,50,50,71,1,False,349
Pidgeot,Normal,Flying,83,80,75,70,70,101,1,False,479
PidgeotMega Pidgeot,Normal,Flying,83,80,80,135,80,121,1,False,579
Rattata,Normal,,30,56,35,25,35,72,1,False,253
Raticate,Normal,,55,81,60,50,70,97,1,False,413
Spearow,Normal,Flying,40,60,30,31,31,70,1,False,262
Fearow,Normal,Flying,65,90,65,61,61,100,1,False,442
Ekans,Poison,,35,60,44,40,54,55,1,False,288
Arbok,Poison,,60,85,69,65,79,80,1,False,438
Pikachu,Electric,,35,55,40,50,50,90,1,False,320
Raichu,Electric,,60,90,55,90,80,110,1,False,485
Sandshrew,Ground,,50,75,85,20,30,40,1,False,300
Sandslash,Ground,,75,100,110,45,55,65,1,False,450
Nidoran (Female),Poison,,55,47,52,40,40,41,1,False,275
Nidorina,Poison,,70,62,67,55,55,56,1,False,365
Nidoqueen,Poison,Ground,90,92,87,75,85,76,1,False,505
Nidoran (Male),Poison,,46,57,40,40,40,50,1,False,273
Nidorino,Poison,,61,72,57,55,55,65,1,False,365
Nidoking,Poison,Ground,81,102,77,85,75,85,1,False,505
Clefairy,Fairy,,70,45,48,60,65,35,1,False,323
Clefable,Fairy,,95,70,73,95,90,60,1,False,483
Vulpix,Fire,,38,41,40,50,65,65,1,False,299
Ninetales,Fire,,73,76,75,81,100,100,1,False,505
Jigglypuff,Normal,Fairy,115,45,20,45,25,20,1,False,270
Wigglytuff,Normal,Fairy,140,70,45,85,50,45,1,False,435
Zubat,Poison,Flying,40,45,35,30,40,55,1,False,245
Golbat,Poison,Flying,75,80,70,65,75,90,1,False,455
Oddish,Grass,Poison,45,50,55,75,65,30,1,False,320
Gloom,Grass,Poison,60,65,70,85,75,40,1,False,395
Vileplume,Grass,Poison,75,80,85,110,90,50,1,False,490
Paras,Bug,Grass,35,70,55,45,55,25,1,False,285
Parasect,Bug,Grass,60,95,80,60,80,30,1,False,405
Venonat,Bug,Poison,60,55,50,40,55,45,1,False,305
Venomoth,Bug,Poison,70,65,60,90,75,90,1,False,450
Diglett,Ground,,10,55,25,35,45,95,1,False,265
Dugtrio,Ground,,35,80,50,50,70,120,1,False,405
Meowth,Normal,,40,45,35,40,40,90,1,False,290
Persian,Normal,,65,70,60,65,65,115,1,False,440
Psyduck,Water,,50,52,48,65,50,55,1,False,320
Golduck,Water,,80,82,78,95,80,85,1,False,500
Mankey,Fighting,,40,80,35,35,45,70,1,False,305
Primeape,Fighting,,65,105,60,60,70,95,1,False,455
Growlithe,Fire,,55,70,45,70,50,60,1,False,350
Arcanine,Fire,,90,110,80,100,80,95,1,False,555
Poliwag,Water,,40,50,40,40,40,90,1,False,300
Poliwhirl,Water,,65,65,65,50,50,90,1,False,385
Poliwrath,Water,Fighting,90,95,95,70,90,70,1,False,510
Abra,Psychic,,25,20,15,105,55,90,1,False,310
Kadabra,Psychic,,40,35,30,120,70,105,1,False,400
Alakazam,Psychic,,55,50,45,135,95,120,1,False,500
AlakazamMega Alakazam,Psychic,,55,50,65,175,95,150,1,False,590
Machop,Fighting,,70,80,50,35,35,35,1,False,305
Machoke,Fighting,,80,100,70,50,60,45,1,False,405
Machamp,Fighting,,90,130,80,65,85,55,1,False,505
Bellsprout,Grass,Poison,50,75,35,70,30,40,1,False,300
Weepinbell,Grass,Poison,65,90,50,85,45,55,1,False,390
Victreebel,Grass,Poison,80,105,65,100,70,70,1,False,490
Tentacool,Water,Poison,40,40,35,50,100,70,1,False,335
Tentacruel,Water,Poison,80,70,65,80,120,100,1,False,515
Geodude,Rock,Ground,40,80,100,30,30,20,1,False,300
Graveler,Rock,Ground,55,95,115,45,45,35,1,False,390
Golem,Rock,Ground,80,120,130,55,65,45,1,False,495
Ponyta,Fire,,50,85,55,65,65,90,1,False,410
Rapidash,Fire,,65,100,70,80,80,105,1,False,500
Slowpoke,Water,Psychic,90,65,65,40,40,15,1,False,315
Slowbro,Water,Psychic,95,75,110,100,80,30,1,False,490
SlowbroMega Slowbro,Water,Psychic,95,75,180,130,80,30,1,False,590
Magnemite,Electric,Steel,25,35,70,95,55,45,1,False,325
Magneton,Electric,Steel,50,60,95,120,70,70,1,False,465
Farfetch'd,Normal,Flying,52,65,55,58,62,60,1,False,352
Doduo,Normal,Flying,35,85,45,35,35,75,1,False,310
Dodrio,Normal,Flying,60,110,70,60,60,100,1,False,460
Seel,Water,,65,45,55,45,70,45,1,False,325
Dewgong,Water,Ice,90,70,80,70,95,70,1,False,475
Grimer,Poison,,80,80,50,40,50,25,1,False,325
Muk,Poison,,105,105,75,65,100,50,1,False,500
Shellder,Water,,30,65,100,45,25,40,1,False,305
Cloyster,Water,Ice,50,95,180,85,45,70,1,False,525
Gastly,Ghost,Poison,30,35,30,100,35,80,1,False,310
Haunter,Ghost,Poison,45,50,45,115,55,95,1,False,405
Gengar,Ghost,Poison,60,65,60,130,75,110,1,False,500
GengarMega Gengar,Ghost,Poison,60,65,80,170,95,130,1,False,600
Onix,Rock,Ground,35,45,160,30,45,70,1,False,385
Drowzee,Psychic,,60,48,45,43,90,42,1,False,328
Hypno,Psychic,,85,73,70,73,115,67,1,False,483
Krabby,Water,,30,105,90,25,25,50,1,False,325
Kingler,Water,,55,130,115,50,50,75,1,False,475
Voltorb,Electric,,40,30,50,55,55,100,1,False,330
Electrode,Electric,,60,50,70,80,80,140,1,False,480
Exeggcute,Grass,Psychic,60,40,80,60,45,40,1,False,325
Exeggutor,Grass,Psychic,95,95,85,125,65,55,1,False,520
Cubone,Ground,,50,50,95,40,50,35,1,False,320
Marowak,Ground,,60,80,110,50,80,45,1,False,425
Hitmonlee,Fighting,,50,120,53,35,110,87,1,False,455
Hitmonchan,Fighting,,50,105,79,35,110,76,1,False,455
Lickitung,Normal,,90,55,75,60,75,30,1,False,385
Koffing,Poison,,40,65,95,60,45,35,1,False,340
Weezing,Poison,,65,90,120,85,70,60,1,False,490
Rhyhorn,Ground,Rock,80,85,95,30,30,25,1,False,345
Rhydon,Ground,Rock,105,130,120,45,45,40,1,False,485
Chansey,Normal,,250,5,5,35,105,50,1,False,450
Tangela,Grass,,65,55,115,100,40,60,1,False,435
Kangaskhan,Normal,,105,95,80,40,80,90,1,False,490
KangaskhanMega Kangaskhan,Normal,,105,125,100,60,100,100,1,False,590
Horsea,Water,,30,40,70,70,25,60,1,False,295
Seadra,Water,,55,65,95,95,45,85,1,False,440
Goldeen,Water,,45,67,60,35,50,63,1,False,320
Seaking,Water,,80,92,65,65,80,68,1,False,450
Staryu,Water,,30,45,55,70,55,85,1,False,340
Starmie,Water,Psychic,60,75,85,100,85,115,1,False,520
Mr. Mime,Psychic,Fairy,40,45,65,100,120,90,1,False,460
Scyther,Bug,Flying,70,110,80,55,80,105,1,False,500
Jynx,Ice,Psychic,65,50,35,115,95,95,1,False,455
Electabuzz,Electric,,65,83,57,95,85,105,1,False,490
Magmar,Fire,,65,95,57,100,85,93,1,False,495
Pinsir,Bug,,65,125,100,55,70,85,1,False,500
PinsirMega Pinsir,Bug,Flying,65,155,120,65,90,105,1,False,600
Tauros,Normal,,75,100,95,40,70,110,1,False,490
Magikarp,Water,,20,10,55,15,20,80,1,False,200
Gyarados,Water,Flying,95,125,79,60,100,81,1,False,540
GyaradosMega Gyarados,Water,Dark,95,155,109,70,130,81,1,False,640
Lapras,Water,Ice,130,85,80,85,95,60,1,False,535
Ditto,Normal,,48,48,48,48,48,48,1,False,288
Eevee,Normal,,55,55,50,45,65,55,1,False,325
Vaporeon,Water,,130,65,60,110,95,65,1,False,525
Jolteon,Electric,,65,65,60,110,95,130,1,False,525
Flareon,Fire,,65,130,60,95,110,65,1,False,525
Porygon,Normal,,65,60,70,85,75,40,1,False,395
Omanyte,Rock,Water,35,40,100,90,55,35,1,False,355
Omastar,Rock,Water,70,60,125,115,70,55,1,False,495
Kabuto,Rock,Water,30,80,90,55,45,55,1,False,355
Kabutops,Rock,Water,60,115,105,65,70,80,1,False,495
Aerodactyl,Rock,Flying,80,105,65,60,75,130,1,False,515
AerodactylMega Aerodactyl,Rock,Flying,80,135,85,70,95,150,1,False,615
Snorlax,Normal,,160,110,65,65,110,30,1,False,540
Articuno,Ice,Flying,90,85,100,95,125,85,1,True,580
Zapdos,Electric,Flying,90,90,85,125,90,100,1,True,580
Moltres,Fire,Flying,90,100,90,125,85,90,1,True,580
Dratini,Dragon,,41,64,45,50,50,50,1,False,300
Dragonair,Dragon,,61,84,65,70,70,70,1,False,420
Dragonite,Dragon,Flying,91,134,95,100,100,80,1,False,600
Mewtwo,Psychic,,106,110,90,154,90,130,1,True,680
MewtwoMega Mewtwo X,Psychic,Fighting,106,190,100,154,100,130,1,True,780
MewtwoMega Mewtwo Y,Psychic,,106,150,70,194,120,140,1,True,780
Mew,Psychic,,100,100,100,100,100,100,1,False,600
Chikorita,Grass,,45,49,65,49,65,45,2,False,318
Bayleef,Grass,,60,62,80,63,80,60,2,False,405
Meganium,Grass,,80,82,100,83,100,80,2,False,525
Cyndaquil,Fire,,39,52,43,60,50,65,2,False,309
Quilava,Fire,,58,64,58,80,65,80,2,False,405
Typhlosion,Fire,,78,84,78,109,85,100,2,False,534
Totodile,Water,,50,65,64,44,48,43,2,False,314
Croconaw,Water,,65,80,80,59,63,58,2,False,405
Feraligatr,Water,,85,105,100,79,83,78,2,False,530
Sentret,Normal,,35,46,34,35,45,20,2,False,215
Furret,Normal,,85,76,64,45,55,90,2,False,415
Hoothoot,Normal,Flying,60,30,30,36,56,50,2,False,262
Noctowl,Normal,Flying,100,50,50,76,96,70,2,False,442
Ledyba,Bug,Flying,40,20,30,40,80,55,2,False,265
Ledian,Bug,Flying,55,35,50,55,110,85,2,False,390
Spinarak,Bug,Poison,40,60,40,40,40,30,2,False,250
Ariados,Bug,Poison,70,90,70,60,60,40,2,False,390
Crobat,Poison,Flying,85,90,80,70,80,130,2,False,535
Chinchou,Water,Electric,75,38,38,56,56,67,2,False,330
Lanturn,Water,Electric,125,58,58,76,76,67,2,False,460
Pichu,Electric,,20,40,15,35,35,60,2,False,205
Cleffa,Fairy,,50,25,28,45,55,15,2,False,218
Igglybuff,Normal,Fairy,90,30,15,40,20,15,2,False,210
Togepi,Fairy,,35,20,65,40,65,20,2,False,245
Togetic,Fairy,Flying,55,40,85,80,105,40,2,False,405
Natu,Psychic,Flying,40,50,45,70,45,70,2,False,320
Xatu,Psychic,Flying,65,75,70,95,70,95,2,False,470
Mareep,Electric,,55,40,40,65,45,35,2,False,280
Flaaffy,Electric,,70,55,55,80,60,45,2,False,365
Ampharos,Electric,,90,75,85,115,90,55,2,False,510
AmpharosMega Ampharos,Electric,Dragon,90,95,105,165,110,45,2,False,610
Bellossom,Grass,,75,80,95,90,100,50,2,False,490
Marill,Water,Fairy,70,20,50,20,50,40,2,False,250
Azumarill,Water,Fairy,100,50,80,60,80,50,2,False,420
Sudowoodo,Rock,,70,100,115,30,65,30,2,False,410
Politoed,Water,,90,75,75,90,100,70,2,False,500
Hoppip,Grass,Flying,35,35,40,35,55,50,2,False,250
Skiploom,Grass,Flying,55,45,50,45,65,80,2,False,340
Jumpluff,Grass,Flying,75,55,70,55,95,110,2,False,460
Aipom,Normal,,55,70,55,40,55,85,2,False,360
Sunkern,Grass,,30,30,30,30,30,30,2,False,180
Sunflora,Grass,,75,75,55,105,85,30,2,False,425
Yanma,Bug,Flying,65,65,45,75,45,95,2,False,390
Wooper,Water,Ground,55,45,45,25,25,15,2,False,210
Quagsire,Water,Ground,95,85,85,65,65,35,2,False,430
Espeon,Psychic,,65,65,60,130,95,110,2,False,525
Umbreon,Dark,,95,65,110,60,130,65,2,False,525
Murkrow,Dark,Flying,60,85,42,85,42,91,2,False,405
Slowking,Water,Psychic,95,75,80,100,110,30,2,False,490
Misdreavus,Ghost,,60,60,60,85,85,85,2,False,435
Unown,Psychic,,48,72,48,72,48,48,2,False,336
Wobbuffet,Psychic,,190,33,58,33,58,33,2,False,405
Girafarig,Normal,Psychic,70,80,65,90,65,85,2,False,455
Pineco,Bug,,50,65,90,35,35,15,2,False,290
Forretress,Bug,Steel,75,90,140,60,60,40,2,False,465
Dunsparce,Normal,,100,70,70,65,65,45,2,False,415
Gligar,Ground,Flying,65,75,105,35,65,85,2,False,430
Steelix,Steel,Ground,75,85,200,55,65,30,2,False,510
SteelixMega Steelix,Steel,Ground,75,125,230,55,95,30,2,False,610
Snubbull,Fairy,,60,80,50,40,40,30,2,False,300
Granbull,Fairy,,90,120,75,60,60,45,2,False,450
Qwilfish,Water,Poison,65,95,75,55,55,85,2,False,430
Scizor,Bug,Steel,70,130,100,55,80,65,2,False,500
ScizorMega Scizor,Bug,Steel,70,150,140,65,100,75,2,False,600
Shuckle,Bug,Rock,20,10,230,10,230,5,2,False,505
Heracross,Bug,Fighting,80,125,75,40,95,85,2,False,500
HeracrossMega Heracross,Bug,Fighting,80,185,115,40,105,75,2,False,600
Sneasel,Dark,Ice,55,95,55,35,75,115,2,False,430
Teddiursa,Normal,,60,80,50,50,50,40,2,False,330
Ursaring,Normal,,90,130,75,75,75,55,2,False,500
Slugma,Fire,,40,40,40,70,40,20,2,False,250
Magcargo,Fire,Rock,50,50,120,80,80,30,2,False,410
Swinub,Ice,Ground,50,50,40,30,30,50,2,False,250
Piloswine,Ice,Ground,100,100,80,60,60,50,2,False,450
Corsola,Water,Rock,55,55,85,65,85,35,2,False,380
Remoraid,Water,,35,65,35,65,35,65,2,False,300
Octillery,Water,,75,105,75,105,75,45,2,False,480
Delibird,Ice,Flying,45,55,45,65,45,75,2,False,330
Mantine,Water,Flying,65,40,70,80,140,70,2,False,465
Skarmory,Steel,Flying,65,80,140,40,70,70,2,False,465
Houndour,Dark,Fire,45,60,30,80,50,65,2,False,330
Houndoom,Dark,Fire,75,90,50,110,80,95,2,False,500
HoundoomMega Houndoom,Dark,Fire,75,90,90,140,90,115,2,False,600
Kingdra,Water,Dragon,75,95,95,95,95,85,2,False,540
Phanpy,Ground,,90,60,60,40,40,40,2,False,330
Donphan,Ground,,90,120,120,60,60,50,2,False,500
Porygon2,Normal,,85,80,90,105,95,60,2,False,515
Stantler,Normal,,73,95,62,85,65,85,2,False,465
Smeargle,Normal,,55,20,35,20,45,75,2,False,250
Tyrogue,Fighting,,35,35,35,35,35,35,2,False,210
Hitmontop,Fighting,,50,95,95,35,110,70,2,False,455
Smoochum,Ice,Psychic,45,30,15,85,65,65,2,False,305
Elekid,Electric,,45,63,37,65,55,95,2,False,360
Magby,Fire,,45,75,37,70,55,83,2,False,365
Miltank,Normal,,95,80,105,40,70,100,2,False,490
Blissey,Normal,,255,10,10,75,135,55,2,False,540
Raikou,Electric,,90,85,75,115,100,115,2,True,580
Entei,Fire,,115,115,85,90,75,100,2,True,580
Suicune,Water,,100,75,115,90,115,85,2,True,580
Larvitar,Rock,Ground,50,64,50,45,50,41,2,False,300
Pupitar,Rock,Ground,70,84,70,65,70,51,2,False,410
Tyranitar,Rock,Dark,100,134,110,95,100,61,2,False,600
TyranitarMega Tyranitar,Rock,Dark,100,164,150,95,120,71,2,False,700
Lugia,Psychic,Flying,106,90,130,90,154,110,2,True,680
Ho-oh,Fire,Flying,106,130,90,110,154,90,2,True,680
Celebi,Psychic,Grass,100,100,100,100,100,100,2,False,600
Treecko,Grass,,40,45,35,65,55,70,3,False,310
Grovyle,Grass,,50,65,45,85,65,95,3,False,405
Sceptile,Grass,,70,85,65,105,85,120,3,False,530
SceptileMega Sceptile,Grass,Dragon,70,110,75,145,85,145,3,False,630
Torchic,Fire,,45,60,40,70,50,45,3,False,310
Combusken,Fire,Fighting,60,85,60,85,60,55,3,False,405
Blaziken,Fire,Fighting,80,120,70,110,70,80,3,False,530
BlazikenMega Blaziken,Fire,Fighting,80,160,80,130,80,100,3,False,630
Mudkip,Water,,50,70,50,50,50,40,3,False,310
Marshtomp,Water,Ground,70,85,70,60,70,50,3,False,405
Swampert,Water,Ground,100,110,90,85,90,60,3,False,535
SwampertMega Swampert,Water,Ground,100,150,110,95,110,70,3,False,635
Poochyena,Dark,,35,55,35,30,30,35,3,False,220
Mightyena,Dark,,70,90,70,60,60,70,3,False,420
Zigzagoon,Normal,,38,30,41,30,41,60,3,False,240
Linoone,Normal,,78,70,61,50,61,100,3,False,420
Wurmple,Bug,,45,45,35,20,30,20,3,False,195
Silcoon,Bug,,50,35,55,25,25,15,3,False,205
Beautifly,Bug,Flying,60,70,50,100,50,65,3,False,395
Cascoon,Bug,,50,35,55,25,25,15,3,False,205
Dustox,Bug,Poison,60,50,70,50,90,65,3,False,385
Lotad,Water,Grass,40,30,30,40,50,30,3,False,220
Lombre,Water,Grass,60,50,50,60,70,50,3,False,340
Ludicolo,Water,Grass,80,70,70,90,100,70,3,False,480
Seedot,Grass,,40,40,50,30,30,30,3,False,220
Nuzleaf,Grass,Dark,70,70,40,60,40,60,3,False,340
Shiftry,Grass,Dark,90,100,60,90,60,80,3,False,480
Taillow,Normal,Flying,40,55,30,30,30,85,3,False,270
Swellow,Normal,Flying,60,85,60,50,50,125,3,False,430
Wingull,Water,Flying,40,30,30,55,30,85,3,False,270
Pelipper,Water,Flying,60,50,100,85,70,65,3,False,430
Ralts,Psychic,Fairy,28,25,25,45,35,40,3,False,198
Kirlia,Psychic,Fairy,38,35,35,65,55,50,3,False,278
Gardevoir,Psychic,Fairy,68,65,65,125,115,80,3,False,518
GardevoirMega Gardevoir,Psychic,Fairy,68,85,65,165,135,100,3,False,618
Surskit,Bug,Water,40,30,32,50,52,65,3,False,269
Masquerain,Bug,Flying,70,60,62,80,82,60,3,False,414
Shroomish,Grass,,60,40,60,40,60,35,3,False,295
Breloom,Grass,Fighting,60,130,80,60,60,70,3,False,460
Slakoth,Normal,,60,60,60,35,35,30,3,False,280
Vigoroth,Normal,,80,80,80,55,55,90,3,False,440
Slaking,Normal,,150,160,100,95,65,100,3,False,670
Nincada,Bug,Ground,31,45,90,30,30,40,3,False,266
Ninjask,Bug,Flying,61,90,45,50,50,160,3,False,456
Shedinja,Bug,Ghost,1,90,45,30,30,40,3,False,236
Whismur,Normal,,64,51,23,51,23,28,3,False,240
Loudred,Normal,,84,71,43,71,43,48,3,False,360
Exploud,Normal,,104,91,63,91,73,68,3,False,490
Makuhita,Fighting,,72,60,30,20,30,25,3,False,237
Hariyama,Fighting,,144,120,60,40,60,50,3,False,474
Azurill,Normal,Fairy,50,20,40,20,40,20,3,False,190
Nosepass,Rock,,30,45,135,45,90,30,3,False,375
Skitty,Normal,,50,45,45,35,35,50,3,False,260
Delcatty,Normal,,70,65,65,55,55,70,3,False,380
Sableye,Dark,Ghost,50,75,75,65,65,50,3,False,380
SableyeMega Sableye,Dark,Ghost,50,85,125,85,115,20,3,False,480
Mawile,Steel,Fairy,50,85,85,55,55,50,3,False,380
MawileMega Mawile,Steel,Fairy,50,105,125,55,95,50,3,False,480
Aron,Steel,Rock,50,70,100,40,40,30,3,False,330
Lairon,Steel,Rock,60,90,140,50,50,40,3,False,430
Aggron,Steel,Rock,70,110,180,60,60,50,3,False,530
AggronMega Aggron,Steel,,70,140,230,60,80,50,3,False,630
Meditite,Fighting,Psychic,30,40,55,40,55,60,3,False,280
Medicham,Fighting,Psychic,60,60,75,60,75,80,3,False,410
MedichamMega Medicham,Fighting,Psychic,60,100,85,80,85,100,3,False,510
Electrike,Electric,,40,45,40,65,40,65,3,False,295
Manectric,Electric,,70,75,60,105,60,105,3,False,475
ManectricMega Manectric,Electric,,70,75,80,135,80,135,3,False,575
Plusle,Electric,,60,50,40,85,75,95,3,False,405
Minun,Electric,,60,40,50,75,85,95,3,False,405
Volbeat,Bug,,65,73,55,47,75,85,3,False,400
Illumise,Bug,,65,47,55,73,75,85,3,False,400
Roselia,Grass,Poison,50,60,45,100,80,65,3,False,400
Gulpin,Poison,,70,43,53,43,53,40,3,False,302
Swalot,Poison,,100,73,83,73,83,55,3,False,467
Carvanha,Water,Dark,45,90,20,65,20,65,3,False,305
Sharpedo,Water,Dark,70,120,40,95,40,95,3,False,460
SharpedoMega Sharpedo,Water,Dark,70,140,70,110,65,105,3,False,560
Wailmer,Water,,130,70,35,70,35,60,3,False,400
Wailord,Water,,170,90,45,90,45,60,3,False,500
Numel,Fire,Ground,60,60,40,65,45,35,3,False,305
Camerupt,Fire,Ground,70,100,70,105,75,40,3,False,460
CameruptMega Camerupt,Fire,Ground,70,120,100,145,105,20,3,False,560
Torkoal,Fire,,70,85,140,85,70,20,3,False,470
Spoink,Psychic,,60,25,35,70,80,60,3,False,330
Grumpig,Psychic,,80,45,65,90,110,80,3,False,470
Spinda,Normal,,60,60,60,60,60,60,3,False,360
Trapinch,Ground,,45,100,45,45,45,10,3,False,290
Vibrava,Ground,Dragon,50,70,50,50,50,70,3,False,340
Flygon,Ground,Dragon,80,100,80,80,80,100,3,False,520
Cacnea,Grass,,50,85,40,85,40,35,3,False,335
Cacturne,Grass,Dark,70,115,60,115,60,55,3,False,475
Swablu,Normal,Flying,45,40,60,40,75,50,3,False,310
Altaria,Dragon,Flying,75,70,90,70,105,80,3,False,490
AltariaMega Altaria,Dragon,Fairy,75,110,110,110,105,80,3,False,590
Zangoose,Normal,,73,115,60,60,60,90,3,False,458
Seviper,Poison,,73,100,60,100,60,65,3,False,458
Lunatone,Rock,Psychic,70,55,65,95,85,70,3,False,440
Solrock,Rock,Psychic,70,95,85,55,65,70,3,False,440
Barboach,Water,Ground,50,48,43,46,41,60,3,False,288
Whiscash,Water,Ground,110,78,73,76,71,60,3,False,468
Corphish,Water,,43,80,65,50,35,35,3,False,308
Crawdaunt,Water,Dark,63,120,85,90,55,55,3,False,468
Baltoy,Ground,Psychic,40,40,55,40,70,55,3,False,300
Claydol,Ground,Psychic,60,70,105,70,120,75,3,False,500
Lileep,Rock,Grass,66,41,77,61,87,23,3,False,355
Cradily,Rock,Grass,86,81,97,81,107,43,3,False,495
Anorith,Rock,Bug,45,95,50,40,50,75,3,False,355
Armaldo,Rock,Bug,75,125,100,70,80,45,3,False,495
Feebas,Water,,20,15,20,10,55,80,3,False,200
Milotic,Water,,95,60,79,100,125,81,3,False,540
Castform,Normal,,70,70,70,70,70,70,3,False,420
Kecleon,Normal,,60,90,70,60,120,40,3,False,440
Shuppet,Ghost,,44,75,35,63,33,45,3,False,295
Banette,Ghost,,64,115,65,83,63,65,3,False,455
BanetteMega Banette,Ghost,,64,165,75,93,83,75,3,False,555
Duskull,Ghost,,20,40,90,30,90,25,3,False,295
Dusclops,Ghost,,40,70,130,60,130,25,3,False,455
Tropius,Grass,Flying,99,68,83,72,87,51,3,False,460
Chimecho,Psychic,,65,50,70,95,80,65,3,False,425
Absol,Dark,,65,130,60,75,60,75,3,False,465
AbsolMega Absol,Dark,,65,150,60,115,60,115,3,False,565
Wynaut,Psychic,,95,23,48,23,48,23,3,False,260
Snorunt,Ice,,50,50,50,50,50,50,3,False,300
Glalie,Ice,,80,80,80,80,80,80,3,False,480
GlalieMega Glalie,Ice,,80,120,80,120,80,100,3,False,580
Spheal,Ice,Water,70,40,50,55,50,25,3,False,290
Sealeo,Ice,Water,90,60,70,75,70,45,3,False,410
Walrein,Ice,Water,110,80,90,95,90,65,3,False,530
Clamperl,Water,,35,64,85,74,55,32,3,False,345
Huntail,Water,,55,104,105,94,75,52,3,False,485
Gorebyss,Water,,55,84,105,114,75,52,3,False,485
